,pathway_name,pathway_id,p_value,gene_num,fold,first_class,second_class,p.adj
198,Histidine metabolism,map00340,3.5915372898585565e-10,208,0.657626382735176,Metabolism,Amino acid metabolism,1.3468264836969588e-07
43,Tryptophan metabolism,map00380,9.258452814104863e-10,107,1.9734723078949568,Metabolism,Amino acid metabolism,3.471919805289324e-07
17,Photosynthesis,map00195,5.973451952569227e-08,89,0.5802655968466546,Metabolism,Energy metabolism,2.24004448221346e-05
139,Biosynthesis of secondary metabolites,map01110,8.190191844964139e-08,5492,0.9241046698385031,Other,Other,3.071321941861552e-05
263,Folate biosynthesis,map00790,9.348119284572113e-08,589,1.2681121580868115,Metabolism,Metabolism of cofactors and vitamins,3.5055447317145424e-05
250,Carbon fixation pathways in prokaryotes,map00720,1.577739183808557e-07,672,1.243274630486156,Metabolism,Energy metabolism,5.9165219392820887e-05
149,Amino sugar and nucleotide sugar metabolism,map00520,1.6709205545248515e-07,877,0.8361430521644,Metabolism,Carbohydrate metabolism,6.265952079468193e-05
163,Sphingolipid metabolism,map00600,3.402998603350546e-07,147,0.6658511536823241,Metabolism,Lipid metabolism,0.00012761244762564546
355,beta-Lactam resistance,map01501,4.794693923185477e-07,297,0.7492897991475929,Human Diseases,Drug resistance: antimicrobial,0.00017980102211945538
113,Microbial metabolism in diverse environments,map01120,8.666757670181309e-07,3552,1.0939350789575082,Other,Other,0.0003250034126317991
270,Chemical carcinogenesis - DNA adducts,map05204,1.0345421285841964e-06,18,4.50303914467308,Human Diseases,Cancer: overview,0.00038795329821907364
204,Purine metabolism,map00230,1.2077790251466747e-06,1013,0.8561780098595827,Metabolism,Nucleotide metabolism,0.000452917134430003
59,Ubiquinone and other terpenoid-quinone biosynthesis,map00130,1.2466219713172577e-06,141,1.5764784538858974,Metabolism,Metabolism of cofactors and vitamins,0.0004674832392439716
135,Lipopolysaccharide biosynthesis,map00540,1.3894496320747666e-06,269,1.3764913631253033,Metabolism,Glycan biosynthesis and metabolism,0.0005210436120280374
346,ABC transporters,map02010,2.829176652450499e-06,1881,0.8941919564692745,Environmental Information Processing,Membrane transport,0.0010609412446689372
107,C5-Branched dibasic acid metabolism,map00660,2.9737410685884235e-06,62,0.5692055100716076,Metabolism,Carbohydrate metabolism,0.0011151529007206588
83,Glucagon signaling pathway,map04922,4.609636463817051e-06,84,0.619641292825419,Organismal Systems,Endocrine system,0.0017286136739313941
357,"Pinene, camphor and geraniol degradation",map00907,7.6820421960359e-06,17,4.00973734497839,Metabolism,Metabolism of terpenoids and polyketides,0.0028807658235134623
46,Bacterial chemotaxis,map02030,9.192570948951264e-06,152,0.7027466034616571,Cellular Processes,Cell motility,0.003447214105856724
95,Other glycan degradation,map00511,1.4811283289769316e-05,181,0.7273929194752661,Metabolism,Glycan biosynthesis and metabolism,0.005554231233663494
365,Sulfur relay system,map04122,2.9551080009101336e-05,239,1.3404490367249415,Genetic Information Processing,"Folding, sorting and degradation",0.011081655003413002
6,beta-Alanine metabolism,map00410,3.0602093104067495e-05,147,1.4587957380691365,Metabolism,Metabolism of other amino acids,0.011475784914025311
223,Glycosphingolipid biosynthesis - globo and isoglobo series,map00603,5.015187530334676e-05,52,0.5861951251034345,Metabolism,Glycan biosynthesis and metabolism,0.018806953238755034
174,"Phenylalanine, tyrosine and tryptophan biosynthesis",map00400,7.202661116150424e-05,554,0.842943054184201,Metabolism,Amino acid metabolism,0.02700997918556409
373,Amoebiasis,map05146,0.0001148171364831803,44,1.9532584419432353,Human Diseases,Infectious disease: parasitic,0.04305642618119261
320,Arginine biosynthesis,map00220,0.00012259325238415342,278,0.7941147428039576,Metabolism,Amino acid metabolism,0.04597246964405753
