,genus_pair,p_value,oddsratio,gp_num,CRC,control,p.adj,Escherichia
2589,g__PeH17&g__Phil1,4.619369484526619e-09,5.172413793103448,38,0.09156626506024096,0.019114688128772636,7.51756189911862e-05,No
796,g__CAG-83&g__Oscillibacter,5.513506144630521e-09,2.2267206477732793,130,0.3132530120481928,0.17002012072434608,8.97267989977171e-05,No
151,g__ER4&g__Oscillibacter,5.537247892112659e-09,2.216353930766742,134,0.3228915662650602,0.17706237424547283,9.01131721962414e-05,No
802,g__Kurthia&g__Leptotrichia,7.4057889033913164e-09,3.4498931139470104,56,0.13493975903614458,0.043259557344064385,0.00012052180861379029,No
1119,g__Blautia_A&g__Eubacterium_E,8.7578049113824e-09,0.4183827427313135,57,0.13734939759036144,0.27565392354124746,0.00014252451712783718,No
2934,g__F0040&g__Prevotella,9.811634318884174e-09,42.414572864321606,17,0.04096385542168675,0.001006036217303823,0.00015967453690552105,No
653,g__Anaerostipes&g__Eubacterium_E,2.3603051229025476e-08,0.39619110394425544,44,0.10602409638554217,0.23038229376257546,0.0003841160557011606,No
1374,g__COE1&g__Gemmiger,3.035072976422869e-08,0.25833333333333336,15,0.03614457831325301,0.1267605633802817,0.0004939277761830576,No
1099,g__CAG-41&g__Ruminococcus,4.219525365879396e-08,0.15488713254108147,6,0.014457831325301205,0.08651911468812877,0.0006866855580432129,No
1088,g__Anaerostipes&g__Blautia_A,4.654622328649716e-08,0.4192042896862174,51,0.12289156626506025,0.2505030181086519,0.0007574932377644549,No
2036,g__Porphyromonas&g__Pseudescherichia,5.216855943272752e-08,12.531645569620252,20,0.04819277108433735,0.004024144869215292,0.0008489911362082076,No
1134,g__Eisenbergiella&g__Fusicatenibacter,6.414013070860033e-08,0.20267417311752287,9,0.021686746987951807,0.09859154929577464,0.0010438164871517618,No
874,g__Kurthia&g__Rothia,6.691036444377489e-08,10.54263959390863,21,0.05060240963855422,0.005030181086519115,0.0010888992709579925,No
4410,g__Campylobacter_B&g__Kurthia,6.805246784627695e-08,21.185929648241206,17,0.04096385542168675,0.002012072434607646,0.001107485861730311,No
4773,g__Leptotrichia&g__Pseudescherichia,6.805246784627695e-08,21.185929648241206,17,0.04096385542168675,0.002012072434607646,0.001107485861730311,No
2072,g__Leptotrichia&g__Porphyromonas,7.074249994184812e-08,3.9262230144583086,41,0.09879518072289156,0.02716297786720322,0.0011512634440536363,No
2878,g__Blautia_A&g__COE1,7.314267150761613e-08,0.22809639454511488,11,0.02650602409638554,0.10663983903420524,0.001190323836114945,No
1235,g__Odoribacter&g__Paraprevotella,9.345285140194143e-08,2.53369894645692,77,0.1855421686746988,0.08249496981891348,0.0015208517037151948,No
1098,g__Agathobacter&g__Marvinbryantia,1.0024639033794528e-07,0.2762461709830131,16,0.03855421686746988,0.1267605633802817,0.0016314097563597215,No
1794,g__Blautia_A&g__Marvinbryantia,1.0397007683088648e-07,0.3776212184003315,34,0.0819277108433735,0.19114688128772636,0.0016920090303458467,No
684,g__CAG-632&g__Eubacterium_E,1.075941719646612e-07,0.1631582085992009,6,0.014457831325301205,0.08249496981891348,0.0017509875545528963,No
113,g__Porphyromonas&g__S5-A14a,1.10337676270914e-07,14.977329974811083,18,0.043373493975903614,0.0030181086519114686,0.0017956353436328544,No
1083,g__Anaerostipes&g__CAG-269,1.2282006689045695e-07,0.30269607843137253,19,0.04578313253012048,0.13682092555331993,0.0019987737685752964,No
601,g__Eubacterium_E&g__Eubacterium_E,1.3622719956141262e-07,0.4923780487804878,87,0.20963855421686747,0.3501006036217304,0.0022169614456624288,No
775,g__Escherichia&g__F0422,1.382610496291706e-07,2.389926183239253,86,0.20722891566265061,0.09859154929577464,0.0022500603216651224,Yes
375,g__Odoribacter&g__Prevotella,1.5168584224509643e-07,2.3041266575217194,91,0.21927710843373494,0.10865191146881288,0.0024685353966966994,No
709,g__Adlercreutzia&g__Collinsella,1.664746211735765e-07,0.16535361767635606,6,0.014457831325301205,0.08148893360160966,0.002709207984978784,No
879,g__Leptotrichia&g__Ureaplasma,1.862401074425732e-07,5.259067357512953,29,0.06987951807228916,0.014084507042253521,0.0030308715085204363,No
5133,g__Eisenbergiella&g__Eubacterium_J,1.9149919056629178e-07,0.07538337368845843,2,0.004819277108433735,0.060362173038229376,0.0031164578272758325,No
692,g__Adlercreutzia&g__Adlercreutzia,1.9149919056629178e-07,0.07538337368845843,2,0.004819277108433735,0.060362173038229376,0.0031164578272758325,No
434,g__Ruthenibacterium&g__UBA5446,2.3593535197239242e-07,5.972890862351017,26,0.06265060240963856,0.011066398390342052,0.0038396119179987145,No
421,g__CAG-170&g__UBA1777,2.441763572567474e-07,2.948060941828255,54,0.13012048192771083,0.0482897384305835,0.003973726037996307,No
926,g__Butyricimonas&g__Butyricimonas,3.4816193085539674e-07,3.68,40,0.0963855421686747,0.028169014084507043,0.005665987262740727,No
223,g__Peptoniphilus_A&g__Peptostreptococcus,3.804770334136066e-07,inf,12,0.02891566265060241,0.0,0.006191883241773034,No
1213,g__Eubacterium_E&g__Ruminococcus_A,3.884626747030515e-07,0.26256333013829936,13,0.03132530120481928,0.1096579476861167,0.00632184156811746,No
283,g__Agathobaculum&g__Agathobaculum,4.2135063263659313e-07,0.4130718954248366,40,0.0963855421686747,0.2052313883299799,0.006857060195527917,No
187,g__CAG-110&g__ER4,4.428531536801239e-07,2.063602386728739,112,0.26987951807228916,0.15191146881287726,0.007206992222990337,No
2472,g__Anaerostipes&g__CAG-776,4.73989024672843e-07,0.10945818979016599,3,0.007228915662650603,0.06237424547283702,0.007713697387525847,No
5045,g__Kurthia&g__Solobacterium,5.880459938107918e-07,5.728438228438228,25,0.060240963855421686,0.011066398390342052,0.009569860503276826,No
124,g__Prevotella&g__S5-A14a,6.014151219900192e-07,8.337552742616033,20,0.04819277108433735,0.006036217303822937,0.009787429695265573,No
596,g__Blautia_A&g__UBA7160,7.291792372665634e-07,0.49831243972999034,75,0.18072289156626506,0.306841046277666,0.011866662907276053,No
2080,g__Fusicatenibacter&g__GCA-900066135,7.654170638474722e-07,0.3277814790139907,20,0.04819277108433735,0.13380281690140844,0.012456397297053763,No
2911,g__Butyricimonas&g__Odoribacter,9.048731768693023e-07,3.609981334119265,38,0.09156626506024096,0.02716297786720322,0.014725906080371026,No
2081,g__Fusicatenibacter&g__Robinsoniella,9.367530274686919e-07,0.3709862761835971,27,0.06506024096385542,0.1579476861167002,0.015244718769025492,No
2037,g__Leptotrichia&g__Solobacterium,1.125729446982625e-06,32.11194029850746,13,0.03132530120481928,0.001006036217303823,0.01832012102019524,No
4546,g__Coprobacter&g__Ruminococcus_C,1.182656044410079e-06,0.0,0,0.0,0.04024144869215292,0.019246544466729628,No
1885,g__Clostridium_Q&g__KLE1615,1.2002871671190199e-06,0.047604669887278586,1,0.0024096385542168677,0.0482897384305835,0.01953347335769493,No
875,g__Kurthia&g__Ureaplasma,1.237739905507032e-06,3.477453580901857,38,0.09156626506024096,0.028169014084507043,0.02014297922222144,No
2061,g__Porphyromonas&g__Rothia,1.2703659817303267e-06,10.571608040201005,17,0.04096385542168675,0.004024144869215292,0.020673935986679336,No
4424,g__Leptotrichia&g__Rothia,1.2703659817303267e-06,10.571608040201005,17,0.04096385542168675,0.004024144869215292,0.020673935986679336,No
1791,g__CAG-110&g__TF01-11,1.2959599573884835e-06,0.21294021294021295,8,0.01927710843373494,0.08450704225352113,0.02109045234654018,No
3964,g__CAG-484&g__Eubacterium_E,1.2991655224214472e-06,0.08597925898853305,2,0.004819277108433735,0.05331991951710262,0.02114261971188663,No
2074,g__Porphyromonas&g__TM7x,1.3663038551847547e-06,2.6264044943820224,59,0.14216867469879518,0.059356136820925554,0.022235228939276697,No
520,g__Escherichia&g__Escherichia,1.4103071481904752e-06,1.9321572409098644,126,0.3036144578313253,0.1841046277665996,0.022951338529651793,Yes
1730,g__CAG-349&g__CAG-631,1.6440659487640775e-06,6.126661012157196,22,0.05301204819277108,0.009054325955734407,0.026755529250186597,No
110,g__CAG-83&g__UBA1777,1.758489099920409e-06,2.128481459362615,89,0.21445783132530122,0.11368209255533199,0.028617651612104736,No
108,g__CAG-170&g__CAG-83,1.915320044407175e-06,1.9978429680759275,110,0.26506024096385544,0.1529175050301811,0.031169918402682368,No
3534,g__Coprobacter&g__Fusicatenibacter,2.007365137722008e-06,0.11750920656176767,3,0.007228915662650603,0.05835010060362173,0.032667860251287956,No
4447,g__Anaerococcus&g__Veillonella,2.031381488697718e-06,17.316708229426435,14,0.033734939759036145,0.002012072434607646,0.03305870234706666,No
990,g__Neobitarella&g__Parabacteroides,2.1797773827989746e-06,2.393600497048773,67,0.1614457831325301,0.0744466800804829,0.03547369712767051,No
277,g__Fusicatenibacter&g__Fusicatenibacter,2.5064409237924643e-06,0.5326696832579185,90,0.21686746987951808,0.3420523138832998,0.040789819593798564,No
2057,g__Bacteroides&g__UBA1394,2.5618212403853667e-06,3.6067366579177604,34,0.0819277108433735,0.02414486921529175,0.041691078866031454,No
2530,g__Bacteroides&g__Muribaculum,3.0554615667513575e-06,1.976575743566035,106,0.25542168674698795,0.14788732394366197,0.049724581537311595,No
