	Position	Sample_Number	Genome
106	10600	25	GUT_GENOME143505_1
107	10700	30	GUT_GENOME143505_1
108	10800	28	GUT_GENOME143505_1
109	10900	27	GUT_GENOME143505_1
110	11000	17	GUT_GENOME143505_1
111	11100	30	GUT_GENOME143505_1
112	11200	47	GUT_GENOME143505_1
113	11300	27	GUT_GENOME143505_1
114	11400	26	GUT_GENOME143505_1
115	11500	32	GUT_GENOME143505_1
116	11600	40	GUT_GENOME143505_1
117	11700	27	GUT_GENOME143505_1
118	11800	49	GUT_GENOME143505_1
119	11900	38	GUT_GENOME143505_1
120	12000	46	GUT_GENOME143505_1
121	12100	30	GUT_GENOME143505_1
122	12200	24	GUT_GENOME143505_1
123	12300	18	GUT_GENOME143505_1
124	12400	35	GUT_GENOME143505_1
125	12500	33	GUT_GENOME143505_1
126	12600	29	GUT_GENOME143505_1
127	12700	32	GUT_GENOME143505_1
128	12800	22	GUT_GENOME143505_1
129	12900	33	GUT_GENOME143505_1
130	13000	31	GUT_GENOME143505_1
131	13100	22	GUT_GENOME143505_1
132	13200	29	GUT_GENOME143505_1
133	13300	34	GUT_GENOME143505_1
134	13400	32	GUT_GENOME143505_1
135	13500	37	GUT_GENOME143505_1
136	13600	35	GUT_GENOME143505_1
137	13700	42	GUT_GENOME143505_1
138	13800	56	GUT_GENOME143505_1
139	13900	31	GUT_GENOME143505_1
140	14000	18	GUT_GENOME143505_1
141	14100	13	GUT_GENOME143505_1
142	14200	5	GUT_GENOME143505_1
143	14300	0	GUT_GENOME143505_1
144	14400	0	GUT_GENOME143505_1
145	14500	1	GUT_GENOME143505_1
146	14600	0	GUT_GENOME143505_1
147	14700	0	GUT_GENOME143505_1
148	14800	0	GUT_GENOME143505_1
149	14900	0	GUT_GENOME143505_1
150	15000	1	GUT_GENOME143505_1
151	15100	1	GUT_GENOME143505_1
152	15200	1	GUT_GENOME143505_1
153	15300	0	GUT_GENOME143505_1
154	15400	1	GUT_GENOME143505_1
155	15500	3	GUT_GENOME143505_1
156	15600	2	GUT_GENOME143505_1
157	15700	0	GUT_GENOME143505_1
158	15800	0	GUT_GENOME143505_1
159	15900	2	GUT_GENOME143505_1
160	16000	1	GUT_GENOME143505_1
161	16100	1	GUT_GENOME143505_1
162	16200	1	GUT_GENOME143505_1
163	16300	0	GUT_GENOME143505_1
164	16400	1	GUT_GENOME143505_1
165	16500	1	GUT_GENOME143505_1
166	16600	1	GUT_GENOME143505_1
167	16700	1	GUT_GENOME143505_1
168	16800	2	GUT_GENOME143505_1
169	16900	0	GUT_GENOME143505_1
170	17000	3	GUT_GENOME143505_1
171	17100	9	GUT_GENOME143505_1
172	17200	9	GUT_GENOME143505_1
173	17300	9	GUT_GENOME143505_1
174	17400	5	GUT_GENOME143505_1
175	17500	12	GUT_GENOME143505_1
176	17600	6	GUT_GENOME143505_1
177	17700	33	GUT_GENOME143505_1
178	17800	42	GUT_GENOME143505_1
179	17900	37	GUT_GENOME143505_1
180	18000	38	GUT_GENOME143505_1
181	18100	33	GUT_GENOME143505_1
182	18200	29	GUT_GENOME143505_1
183	18300	18	GUT_GENOME143505_1
184	18400	11	GUT_GENOME143505_1
185	18500	29	GUT_GENOME143505_1
186	18600	24	GUT_GENOME143505_1
187	18700	40	GUT_GENOME143505_1
188	18800	29	GUT_GENOME143505_1
189	18900	28	GUT_GENOME143505_1
190	19000	27	GUT_GENOME143505_1
191	19100	12	GUT_GENOME143505_1
192	19200	20	GUT_GENOME143505_1
193	19300	44	GUT_GENOME143505_1
194	19400	33	GUT_GENOME143505_1
195	19500	31	GUT_GENOME143505_1
196	19600	19	GUT_GENOME143505_1
197	19700	12	GUT_GENOME143505_1
198	19800	6	GUT_GENOME143505_1
199	19900	26	GUT_GENOME143505_1
200	20000	9	GUT_GENOME143505_1
201	20100	24	GUT_GENOME143505_1
202	20200	17	GUT_GENOME143505_1
203	20300	20	GUT_GENOME143505_1
204	20400	40	GUT_GENOME143505_1
205	20500	17	GUT_GENOME143505_1
206	20600	30	GUT_GENOME143505_1
207	20700	27	GUT_GENOME143505_1
208	20800	30	GUT_GENOME143505_1
209	20900	10	GUT_GENOME143505_1
210	21000	42	GUT_GENOME143505_1
211	21100	20	GUT_GENOME143505_1
212	21200	20	GUT_GENOME143505_1
213	21300	31	GUT_GENOME143505_1
214	21400	27	GUT_GENOME143505_1
215	21500	22	GUT_GENOME143505_1
216	21600	29	GUT_GENOME143505_1
217	21700	43	GUT_GENOME143505_1
218	21800	34	GUT_GENOME143505_1
219	21900	31	GUT_GENOME143505_1
220	22000	15	GUT_GENOME143505_1
221	22100	21	GUT_GENOME143505_1
222	22200	7	GUT_GENOME143505_1
223	22300	6	GUT_GENOME143505_1
224	22400	5	GUT_GENOME143505_1
225	22500	17	GUT_GENOME143505_1
226	22600	12	GUT_GENOME143505_1
227	22700	10	GUT_GENOME143505_1
228	22800	11	GUT_GENOME143505_1
229	22900	7	GUT_GENOME143505_1
230	23000	13	GUT_GENOME143505_1
231	23100	12	GUT_GENOME143505_1
232	23200	14	GUT_GENOME143505_1
233	23300	13	GUT_GENOME143505_1
234	23400	6	GUT_GENOME143505_1
235	23500	7	GUT_GENOME143505_1
236	23600	12	GUT_GENOME143505_1
237	23700	15	GUT_GENOME143505_1
238	23800	11	GUT_GENOME143505_1
239	23900	11	GUT_GENOME143505_1
240	24000	17	GUT_GENOME143505_1
241	24100	11	GUT_GENOME143505_1
242	24200	18	GUT_GENOME143505_1
243	24300	13	GUT_GENOME143505_1
244	24400	6	GUT_GENOME143505_1
245	24500	11	GUT_GENOME143505_1
246	24600	17	GUT_GENOME143505_1
247	24700	16	GUT_GENOME143505_1
248	24800	12	GUT_GENOME143505_1
249	24900	12	GUT_GENOME143505_1
250	25000	14	GUT_GENOME143505_1
251	25100	15	GUT_GENOME143505_1
252	25200	12	GUT_GENOME143505_1
253	25300	141	GUT_GENOME143505_1
254	25400	13	GUT_GENOME143505_1
255	25500	19	GUT_GENOME143505_1
256	25600	20	GUT_GENOME143505_1
257	25700	14	GUT_GENOME143505_1
258	25800	15	GUT_GENOME143505_1
259	25900	11	GUT_GENOME143505_1
260	26000	11	GUT_GENOME143505_1
261	26100	11	GUT_GENOME143505_1
262	26200	15	GUT_GENOME143505_1
263	26300	11	GUT_GENOME143505_1
264	26400	10	GUT_GENOME143505_1
265	26500	6	GUT_GENOME143505_1
266	26600	13	GUT_GENOME143505_1
267	26700	13	GUT_GENOME143505_1
268	26800	18	GUT_GENOME143505_1
269	26900	12	GUT_GENOME143505_1
270	27000	10	GUT_GENOME143505_1
271	27100	16	GUT_GENOME143505_1
272	27200	13	GUT_GENOME143505_1
273	27300	16	GUT_GENOME143505_1
274	27400	13	GUT_GENOME143505_1
275	27500	8	GUT_GENOME143505_1
276	27600	23	GUT_GENOME143505_1
277	27700	14	GUT_GENOME143505_1
278	27800	17	GUT_GENOME143505_1
279	27900	12	GUT_GENOME143505_1
280	28000	14	GUT_GENOME143505_1
281	28100	11	GUT_GENOME143505_1
282	28200	11	GUT_GENOME143505_1
283	28300	14	GUT_GENOME143505_1
284	28400	5	GUT_GENOME143505_1
285	28500	8	GUT_GENOME143505_1
286	28600	10	GUT_GENOME143505_1
287	28700	10	GUT_GENOME143505_1
288	28800	15	GUT_GENOME143505_1
289	28900	9	GUT_GENOME143505_1
290	29000	12	GUT_GENOME143505_1
291	29100	19	GUT_GENOME143505_1
292	29200	9	GUT_GENOME143505_1
293	29300	14	GUT_GENOME143505_1
294	29400	10	GUT_GENOME143505_1
295	29500	16	GUT_GENOME143505_1
296	29600	9	GUT_GENOME143505_1
297	29700	13	GUT_GENOME143505_1
298	29800	12	GUT_GENOME143505_1
299	29900	10	GUT_GENOME143505_1
300	30000	15	GUT_GENOME143505_1
301	30100	15	GUT_GENOME143505_1
302	30200	17	GUT_GENOME143505_1
303	30300	10	GUT_GENOME143505_1
304	30400	9	GUT_GENOME143505_1
305	30500	6	GUT_GENOME143505_1
306	30600	9	GUT_GENOME143505_1
307	30700	11	GUT_GENOME143505_1
308	30800	16	GUT_GENOME143505_1
309	30900	8	GUT_GENOME143505_1
310	31000	9	GUT_GENOME143505_1
311	31100	6	GUT_GENOME143505_1
312	31200	16	GUT_GENOME143505_1
313	31300	20	GUT_GENOME143505_1
314	31400	20	GUT_GENOME143505_1
315	31500	16	GUT_GENOME143505_1
316	31600	16	GUT_GENOME143505_1
317	31700	16	GUT_GENOME143505_1
318	31800	10	GUT_GENOME143505_1
319	31900	14	GUT_GENOME143505_1
320	32000	11	GUT_GENOME143505_1
321	32100	21	GUT_GENOME143505_1
322	32200	16	GUT_GENOME143505_1
323	32300	16	GUT_GENOME143505_1
324	32400	17	GUT_GENOME143505_1
325	32500	16	GUT_GENOME143505_1
326	32600	14	GUT_GENOME143505_1
327	32700	3	GUT_GENOME143505_1
328	32800	16	GUT_GENOME143505_1
329	32900	19	GUT_GENOME143505_1
330	33000	21	GUT_GENOME143505_1
331	33100	17	GUT_GENOME143505_1
332	33200	12	GUT_GENOME143505_1
333	33300	18	GUT_GENOME143505_1
334	33400	17	GUT_GENOME143505_1
335	33500	9	GUT_GENOME143505_1
336	33600	15	GUT_GENOME143505_1
337	33700	19	GUT_GENOME143505_1
338	33800	16	GUT_GENOME143505_1
339	33900	6	GUT_GENOME143505_1
340	34000	7	GUT_GENOME143505_1
341	34100	4	GUT_GENOME143505_1
342	34200	2	GUT_GENOME143505_1
343	34300	4	GUT_GENOME143505_1
344	34400	8	GUT_GENOME143505_1
345	34500	5	GUT_GENOME143505_1
346	34600	10	GUT_GENOME143505_1
347	34700	4	GUT_GENOME143505_1
348	34800	7	GUT_GENOME143505_1
349	34900	5	GUT_GENOME143505_1
350	35000	7	GUT_GENOME143505_1
351	35100	4	GUT_GENOME143505_1
352	35200	5	GUT_GENOME143505_1
353	35300	7	GUT_GENOME143505_1
354	35400	5	GUT_GENOME143505_1
355	35500	6	GUT_GENOME143505_1
356	35600	7	GUT_GENOME143505_1
357	35700	2	GUT_GENOME143505_1
358	35800	9	GUT_GENOME143505_1
359	35900	7	GUT_GENOME143505_1
360	36000	3	GUT_GENOME143505_1
361	36100	7	GUT_GENOME143505_1
362	36200	6	GUT_GENOME143505_1
363	36300	3	GUT_GENOME143505_1
364	36400	11	GUT_GENOME143505_1
365	36500	11	GUT_GENOME143505_1
366	36600	8	GUT_GENOME143505_1
367	36700	10	GUT_GENOME143505_1
368	36800	5	GUT_GENOME143505_1
369	36900	1	GUT_GENOME143505_1
370	37000	4	GUT_GENOME143505_1
371	37100	10	GUT_GENOME143505_1
372	37200	9	GUT_GENOME143505_1
373	37300	6	GUT_GENOME143505_1
374	37400	5	GUT_GENOME143505_1
375	37500	6	GUT_GENOME143505_1
376	37600	3	GUT_GENOME143505_1
377	37700	3	GUT_GENOME143505_1
378	37800	4	GUT_GENOME143505_1
379	37900	3	GUT_GENOME143505_1
380	38000	3	GUT_GENOME143505_1
381	38100	8	GUT_GENOME143505_1
382	38200	6	GUT_GENOME143505_1
383	38300	9	GUT_GENOME143505_1
384	38400	3	GUT_GENOME143505_1
385	38500	2	GUT_GENOME143505_1
386	38600	14	GUT_GENOME143505_1
387	38700	4	GUT_GENOME143505_1
388	38800	2	GUT_GENOME143505_1
389	38900	9	GUT_GENOME143505_1
390	39000	8	GUT_GENOME143505_1
391	39100	7	GUT_GENOME143505_1
392	39200	13	GUT_GENOME143505_1
393	39300	13	GUT_GENOME143505_1
394	39400	15	GUT_GENOME143505_1
395	39500	2	GUT_GENOME143505_1
396	39600	3	GUT_GENOME143505_1
397	39700	3	GUT_GENOME143505_1
398	39800	5	GUT_GENOME143505_1
399	39900	4	GUT_GENOME143505_1
400	40000	1	GUT_GENOME143505_1
401	40100	4	GUT_GENOME143505_1
402	40200	6	GUT_GENOME143505_1
403	40300	5	GUT_GENOME143505_1
404	40400	11	GUT_GENOME143505_1
405	40500	11	GUT_GENOME143505_1
406	40600	6	GUT_GENOME143505_1
407	40700	4	GUT_GENOME143505_1
408	40800	6	GUT_GENOME143505_1
409	40900	5	GUT_GENOME143505_1
410	41000	3	GUT_GENOME143505_1
411	41100	10	GUT_GENOME143505_1
412	41200	11	GUT_GENOME143505_1
413	41300	11	GUT_GENOME143505_1
414	41400	4	GUT_GENOME143505_1
415	41500	6	GUT_GENOME143505_1
416	41600	7	GUT_GENOME143505_1
417	41700	15	GUT_GENOME143505_1
418	41800	9	GUT_GENOME143505_1
419	41900	10	GUT_GENOME143505_1
420	42000	4	GUT_GENOME143505_1
421	42100	8	GUT_GENOME143505_1
422	42200	4	GUT_GENOME143505_1
423	42300	10	GUT_GENOME143505_1
424	42400	6	GUT_GENOME143505_1
425	42500	16	GUT_GENOME143505_1
426	42600	17	GUT_GENOME143505_1
427	42700	15	GUT_GENOME143505_1
428	42800	10	GUT_GENOME143505_1
429	42900	9	GUT_GENOME143505_1
430	43000	15	GUT_GENOME143505_1
431	43100	10	GUT_GENOME143505_1
432	43200	7	GUT_GENOME143505_1
433	43300	11	GUT_GENOME143505_1
434	43400	20	GUT_GENOME143505_1
435	43500	11	GUT_GENOME143505_1
436	43600	8	GUT_GENOME143505_1
437	43700	5	GUT_GENOME143505_1
438	43800	10	GUT_GENOME143505_1
439	43900	22	GUT_GENOME143505_1
440	44000	19	GUT_GENOME143505_1
441	44100	37	GUT_GENOME143505_1
442	44200	19	GUT_GENOME143505_1
443	44300	8	GUT_GENOME143505_1
444	44400	8	GUT_GENOME143505_1
445	44500	3	GUT_GENOME143505_1
446	44600	22	GUT_GENOME143505_1
447	44700	25	GUT_GENOME143505_1
448	44800	28	GUT_GENOME143505_1
449	44900	34	GUT_GENOME143505_1
450	0	5	GUT_GENOME253287_2
451	100	15	GUT_GENOME253287_2
452	200	34	GUT_GENOME253287_2
453	300	34	GUT_GENOME253287_2
454	400	27	GUT_GENOME253287_2
455	500	40	GUT_GENOME253287_2
456	600	22	GUT_GENOME253287_2
457	700	3	GUT_GENOME253287_2
458	800	18	GUT_GENOME253287_2
459	900	13	GUT_GENOME253287_2
460	1000	16	GUT_GENOME253287_2
461	1100	21	GUT_GENOME253287_2
462	1200	1	GUT_GENOME253287_2
463	1300	1	GUT_GENOME253287_2
464	1400	0	GUT_GENOME253287_2
465	1500	5	GUT_GENOME253287_2
466	1600	2	GUT_GENOME253287_2
467	1700	7	GUT_GENOME253287_2
468	1800	8	GUT_GENOME253287_2
469	1900	2	GUT_GENOME253287_2
470	2000	5	GUT_GENOME253287_2
471	2100	7	GUT_GENOME253287_2
472	2200	9	GUT_GENOME253287_2
473	2300	25	GUT_GENOME253287_2
474	2400	10	GUT_GENOME253287_2
475	2500	21	GUT_GENOME253287_2
476	2600	11	GUT_GENOME253287_2
477	2700	19	GUT_GENOME253287_2
478	2800	14	GUT_GENOME253287_2
479	2900	17	GUT_GENOME253287_2
480	3000	27	GUT_GENOME253287_2
481	3100	22	GUT_GENOME253287_2
482	3200	17	GUT_GENOME253287_2
483	3300	16	GUT_GENOME253287_2
484	3400	29	GUT_GENOME253287_2
485	3500	24	GUT_GENOME253287_2
486	3600	25	GUT_GENOME253287_2
487	3700	30	GUT_GENOME253287_2
488	3800	22	GUT_GENOME253287_2
489	3900	26	GUT_GENOME253287_2
490	4000	32	GUT_GENOME253287_2
491	4100	8	GUT_GENOME253287_2
492	4200	15	GUT_GENOME253287_2
493	4300	14	GUT_GENOME253287_2
494	4400	12	GUT_GENOME253287_2
495	4500	17	GUT_GENOME253287_2
496	4600	16	GUT_GENOME253287_2
497	4700	5	GUT_GENOME253287_2
498	4800	17	GUT_GENOME253287_2
499	4900	19	GUT_GENOME253287_2
500	5000	12	GUT_GENOME253287_2
501	5100	22	GUT_GENOME253287_2
502	5200	20	GUT_GENOME253287_2
503	5300	15	GUT_GENOME253287_2
504	5400	14	GUT_GENOME253287_2
505	5500	6	GUT_GENOME253287_2
506	5600	7	GUT_GENOME253287_2
507	5700	3	GUT_GENOME253287_2
508	5800	3	GUT_GENOME253287_2
509	5900	7	GUT_GENOME253287_2
510	6000	0	GUT_GENOME253287_2
511	6100	17	GUT_GENOME253287_2
512	6200	4	GUT_GENOME253287_2
513	6300	1	GUT_GENOME253287_2
514	6400	1	GUT_GENOME253287_2
515	6500	1	GUT_GENOME253287_2
516	6600	1	GUT_GENOME253287_2
517	6700	2	GUT_GENOME253287_2
518	6800	1	GUT_GENOME253287_2
519	6900	0	GUT_GENOME253287_2
520	7000	1	GUT_GENOME253287_2
521	7100	0	GUT_GENOME253287_2
522	7200	0	GUT_GENOME253287_2
523	7300	0	GUT_GENOME253287_2
524	7400	1	GUT_GENOME253287_2
525	7500	6	GUT_GENOME253287_2
526	7600	1	GUT_GENOME253287_2
527	7700	5	GUT_GENOME253287_2
528	7800	10	GUT_GENOME253287_2
529	7900	4	GUT_GENOME253287_2
530	8000	6	GUT_GENOME253287_2
531	8100	4	GUT_GENOME253287_2
532	8200	9	GUT_GENOME253287_2
533	8300	8	GUT_GENOME253287_2
534	8400	7	GUT_GENOME253287_2
535	8500	12	GUT_GENOME253287_2
536	8600	2	GUT_GENOME253287_2
537	8700	0	GUT_GENOME253287_2
538	8800	1	GUT_GENOME253287_2
539	8900	4	GUT_GENOME253287_2
540	9000	6	GUT_GENOME253287_2
541	9100	8	GUT_GENOME253287_2
542	9200	9	GUT_GENOME253287_2
543	9300	5	GUT_GENOME253287_2
544	9400	4	GUT_GENOME253287_2
545	9500	3	GUT_GENOME253287_2
546	9600	4	GUT_GENOME253287_2
547	9700	2	GUT_GENOME253287_2
548	9800	2	GUT_GENOME253287_2
549	9900	1	GUT_GENOME253287_2
550	10000	2	GUT_GENOME253287_2
551	10100	3	GUT_GENOME253287_2
552	10200	6	GUT_GENOME253287_2
553	10300	5	GUT_GENOME253287_2
554	10400	11	GUT_GENOME253287_2
555	10500	10	GUT_GENOME253287_2
556	10600	4	GUT_GENOME253287_2
557	10700	0	GUT_GENOME253287_2
558	10800	4	GUT_GENOME253287_2
559	10900	1	GUT_GENOME253287_2
560	11000	8	GUT_GENOME253287_2
561	11100	9	GUT_GENOME253287_2
562	11200	1	GUT_GENOME253287_2
563	11300	6	GUT_GENOME253287_2
564	11400	8	GUT_GENOME253287_2
565	11500	10	GUT_GENOME253287_2
566	11600	3	GUT_GENOME253287_2
567	11700	4	GUT_GENOME253287_2
568	11800	0	GUT_GENOME253287_2
569	11900	1	GUT_GENOME253287_2
570	12000	6	GUT_GENOME253287_2
571	12100	3	GUT_GENOME253287_2
572	12200	1	GUT_GENOME253287_2
573	12300	0	GUT_GENOME253287_2
574	12400	0	GUT_GENOME253287_2
575	12500	0	GUT_GENOME253287_2
576	12600	1	GUT_GENOME253287_2
577	12700	0	GUT_GENOME253287_2
578	12800	0	GUT_GENOME253287_2
579	12900	0	GUT_GENOME253287_2
580	13000	0	GUT_GENOME253287_2
581	13100	1	GUT_GENOME253287_2
582	13200	1	GUT_GENOME253287_2
583	13300	0	GUT_GENOME253287_2
584	13400	1	GUT_GENOME253287_2
585	13500	3	GUT_GENOME253287_2
586	13600	1	GUT_GENOME253287_2
587	13700	3	GUT_GENOME253287_2
588	13800	5	GUT_GENOME253287_2
589	13900	2	GUT_GENOME253287_2
590	14000	8	GUT_GENOME253287_2
591	14100	6	GUT_GENOME253287_2
592	14200	5	GUT_GENOME253287_2
593	14300	5	GUT_GENOME253287_2
594	14400	10	GUT_GENOME253287_2
595	14500	3	GUT_GENOME253287_2
596	14600	10	GUT_GENOME253287_2
597	14700	3	GUT_GENOME253287_2
598	14800	2	GUT_GENOME253287_2
599	14900	4	GUT_GENOME253287_2
600	15000	4	GUT_GENOME253287_2
601	15100	6	GUT_GENOME253287_2
602	15200	6	GUT_GENOME253287_2
603	15300	5	GUT_GENOME253287_2
604	15400	6	GUT_GENOME253287_2
605	15500	4	GUT_GENOME253287_2
606	15600	7	GUT_GENOME253287_2
607	15700	18	GUT_GENOME253287_2
608	15800	19	GUT_GENOME253287_2
609	15900	4	GUT_GENOME253287_2
610	16000	12	GUT_GENOME253287_2
611	16100	14	GUT_GENOME253287_2
612	16200	13	GUT_GENOME253287_2
613	16300	15	GUT_GENOME253287_2
614	16400	33	GUT_GENOME253287_2
615	16500	25	GUT_GENOME253287_2
616	16600	17	GUT_GENOME253287_2
617	16700	24	GUT_GENOME253287_2
618	16800	22	GUT_GENOME253287_2
619	16900	5	GUT_GENOME253287_2
620	17000	14	GUT_GENOME253287_2
621	17100	31	GUT_GENOME253287_2
622	17200	28	GUT_GENOME253287_2
623	17300	25	GUT_GENOME253287_2
624	17400	10	GUT_GENOME253287_2
625	17500	9	GUT_GENOME253287_2
626	17600	14	GUT_GENOME253287_2
627	17700	5	GUT_GENOME253287_2
628	17800	1	GUT_GENOME253287_2
629	17900	1	GUT_GENOME253287_2
630	18000	1	GUT_GENOME253287_2
631	18100	2	GUT_GENOME253287_2
632	18200	1	GUT_GENOME253287_2
633	18300	1	GUT_GENOME253287_2
634	18400	2	GUT_GENOME253287_2
635	18500	2	GUT_GENOME253287_2
636	18600	1	GUT_GENOME253287_2
637	18700	0	GUT_GENOME253287_2
638	18800	0	GUT_GENOME253287_2
639	18900	1	GUT_GENOME253287_2
640	19000	1	GUT_GENOME253287_2
641	19100	2	GUT_GENOME253287_2
642	19200	8	GUT_GENOME253287_2
643	19300	1	GUT_GENOME253287_2
644	19400	0	GUT_GENOME253287_2
645	19500	1	GUT_GENOME253287_2
646	19600	4	GUT_GENOME253287_2
647	19700	6	GUT_GENOME253287_2
648	19800	7	GUT_GENOME253287_2
649	19900	16	GUT_GENOME253287_2
650	20000	28	GUT_GENOME253287_2
651	20100	31	GUT_GENOME253287_2
652	20200	28	GUT_GENOME253287_2
653	20300	28	GUT_GENOME253287_2
654	20400	27	GUT_GENOME253287_2
655	20500	20	GUT_GENOME253287_2
656	20600	19	GUT_GENOME253287_2
657	20700	30	GUT_GENOME253287_2
658	20800	32	GUT_GENOME253287_2
659	20900	15	GUT_GENOME253287_2
660	21000	17	GUT_GENOME253287_2
661	21100	7	GUT_GENOME253287_2
662	21200	6	GUT_GENOME253287_2
663	21300	19	GUT_GENOME253287_2
664	21400	15	GUT_GENOME253287_2
665	21500	11	GUT_GENOME253287_2
666	21600	15	GUT_GENOME253287_2
667	21700	14	GUT_GENOME253287_2
668	21800	13	GUT_GENOME253287_2
669	21900	12	GUT_GENOME253287_2
670	22000	4	GUT_GENOME253287_2
671	22100	9	GUT_GENOME253287_2
672	22200	11	GUT_GENOME253287_2
673	22300	11	GUT_GENOME253287_2
674	22400	25	GUT_GENOME253287_2
675	22500	21	GUT_GENOME253287_2
676	22600	20	GUT_GENOME253287_2
677	22700	23	GUT_GENOME253287_2
678	22800	23	GUT_GENOME253287_2
679	22900	26	GUT_GENOME253287_2
680	23000	18	GUT_GENOME253287_2
681	23100	22	GUT_GENOME253287_2
682	23200	22	GUT_GENOME253287_2
683	23300	19	GUT_GENOME253287_2
684	23400	34	GUT_GENOME253287_2
685	23500	32	GUT_GENOME253287_2
686	23600	35	GUT_GENOME253287_2
687	23700	27	GUT_GENOME253287_2
688	23800	38	GUT_GENOME253287_2
689	23900	37	GUT_GENOME253287_2
690	24000	27	GUT_GENOME253287_2
691	24100	26	GUT_GENOME253287_2
692	24200	41	GUT_GENOME253287_2
693	24300	32	GUT_GENOME253287_2
694	24400	35	GUT_GENOME253287_2
695	24500	40	GUT_GENOME253287_2
696	24600	35	GUT_GENOME253287_2
697	24700	31	GUT_GENOME253287_2
698	24800	31	GUT_GENOME253287_2
