	seq_id	start	end	seq_id2	start2	end2
72	GUT_GENOME096063_2	74700	74701	GUT_GENOME147678_1	62400	62401
73	GUT_GENOME096063_2	85800	85801	GUT_GENOME147678_1	73300	73301
74	GUT_GENOME096063_2	88300	88301	GUT_GENOME147678_1	95700	95701
75	GUT_GENOME096063_2	98300	98301	GUT_GENOME147678_1	6400	6401
76	GUT_GENOME096063_2	62300	62301	GUT_GENOME147678_1	42800	42801
77	GUT_GENOME096063_2	83700	83701	GUT_GENOME147678_1	20800	20801
78	GUT_GENOME096063_2	84700	84701	GUT_GENOME147678_1	47800	47801
79	GUT_GENOME096063_2	87700	87701	GUT_GENOME147678_1	56400	56401
80	GUT_GENOME096063_2	1100	1101	GUT_GENOME147678_1	96800	96801
81	GUT_GENOME096063_2	67800	67801	GUT_GENOME147678_1	14000	14001
82	GUT_GENOME096063_2	73000	73001	GUT_GENOME147678_1	72000	72001
83	GUT_GENOME096063_2	94500	94501	GUT_GENOME147678_1	46800	46801
84	GUT_GENOME096063_2	8400	8401	GUT_GENOME147678_1	42800	42801
85	GUT_GENOME096063_2	20000	20001	GUT_GENOME147678_1	4000	4001
86	GUT_GENOME096063_2	22600	22601	GUT_GENOME147678_1	56100	56101
87	GUT_GENOME096063_2	61700	61701	GUT_GENOME147678_1	5100	5101
88	GUT_GENOME096063_2	66300	66301	GUT_GENOME147678_1	34200	34201
89	GUT_GENOME096063_2	73600	73601	GUT_GENOME147678_1	41600	41601
90	GUT_GENOME096063_2	93800	93801	GUT_GENOME147678_1	74700	74701
91	GUT_GENOME096063_2	4800	4801	GUT_GENOME147678_1	72400	72401
92	GUT_GENOME096063_2	11900	11901	GUT_GENOME147678_1	73300	73301
93	GUT_GENOME096063_2	20200	20201	GUT_GENOME144544_1	21500	21501
94	GUT_GENOME096063_2	44800	44801	GUT_GENOME144544_1	7100	7101
95	GUT_GENOME096063_2	61300	61301	GUT_GENOME144544_1	90200	90201
96	GUT_GENOME096063_2	61600	61601	GUT_GENOME144544_1	66400	66401
97	GUT_GENOME096063_2	82800	82801	GUT_GENOME144544_1	10800	10801
98	GUT_GENOME096063_2	16500	16501	GUT_GENOME144544_1	67600	67601
99	GUT_GENOME096063_2	85600	85601	GUT_GENOME144544_1	80200	80201
100	GUT_GENOME096063_2	86900	86901	GUT_GENOME144544_1	9100	9101
101	GUT_GENOME096063_2	99000	99001	GUT_GENOME144544_1	79100	79101
102	GUT_GENOME096063_2	28900	28901	GUT_GENOME144544_1	26000	26001
103	GUT_GENOME096063_2	44400	44401	GUT_GENOME144544_1	3500	3501
104	GUT_GENOME096063_2	7100	7101	GUT_GENOME144544_1	4400	4401
105	GUT_GENOME144544_1	40400	40401	GUT_GENOME147598_1	73000	73001
106	GUT_GENOME144544_1	26300	26301	GUT_GENOME147598_1	58000	58001
107	GUT_GENOME144544_1	29000	29001	GUT_GENOME147598_1	4800	4801
108	GUT_GENOME144544_1	50300	50301	GUT_GENOME147598_1	63100	63101
109	GUT_GENOME144544_1	61500	61501	GUT_GENOME147598_1	72900	72901
