,pathway_name,pathway_id,p_value,gene_num,fold,first_class,second_class,fir_freq,sec_freq,p.adj
79,MicroRNAs in cancer,map05206,4.084520048158345e-33,250,2.450810271719261,Human Diseases,Cancer: overview,0.0022978997196562343,0.0009388853219697319,1.6297234992151797e-30
85,Fructose and mannose metabolism,map00051,4.8626938473992236e-14,1678,0.8322793778271685,Metabolism,Carbohydrate metabolism,0.015423502918332645,0.018474220896862542,1.94021484511229e-11
88,Photosynthesis,map00195,1.2665456332817349e-21,241,0.5655441711625372,Metabolism,Energy metabolism,0.0022151753297486097,0.00391023768972923,5.053517076794122e-19
91,Pyrimidine metabolism,map00240,1.5497714102479915e-26,2106,0.7941397689126025,Metabolism,Nucleotide metabolism,0.019357507238384117,0.024253737542601506,6.183587926889486e-24
94,Porphyrin metabolism,map00860,6.724723935497799e-18,1038,0.7691009918634448,Metabolism,Metabolism of cofactors and vitamins,0.009540879636012684,0.012369804886855643,2.683164850263622e-15
98,Biofilm formation - Vibrio cholerae,map05111,1.1121003370426881e-07,790,1.221228590095349,Cellular Processes,Cellular community - prokaryotes,0.0072613631141137,0.005953780850209948,4.437280344800326e-05
99,Phosphotransferase system (PTS),map02060,5.02242394773731e-95,775,0.509128585414574,Environmental Information Processing,Membrane transport,0.007123489130934326,0.013896093491268883,2.0039471551471868e-92
103,Acarbose and validamycin biosynthesis,map00525,2.975525002840816e-18,317,1.7275125587295852,Metabolism,Biosynthesis of other secondary metabolites,0.002913736844524105,0.0016887382865472095,1.1872344761334856e-15
106,Metabolism of xenobiotics by cytochrome P450,map00980,3.8014965779204065e-05,55,0.5915243460529815,Metabolism,Xenobiotics biodegradation and metabolism,0.0005055379383243716,0.0008543376464954619,0.015167971345902422
108,Nicotinate and nicotinamide metabolism,map00760,2.0305309034720094e-14,740,0.7595445165672773,Metabolism,Metabolism of cofactors and vitamins,0.006801783170182453,0.008935840128837367,8.101818304853317e-12
110,Carbon fixation pathways in prokaryotes,map00720,7.973964163359942e-13,1182,0.8131607788640267,Metabolism,Energy metabolism,0.010864469874534675,0.013327519603799994,3.181611701180617e-10
115,Glycosphingolipid biosynthesis - globo and isoglobo series,map00603,1.5648245381543999e-34,336,2.168454759702825,Metabolism,Glycan biosynthesis and metabolism,0.0030883772232179786,0.0014266035721946693,6.243649907236055e-32
120,Butanoate metabolism,map00650,1.2611655077630592e-13,733,0.764905076132494,Metabolism,Carbohydrate metabolism,0.006737441978032078,0.008790004618739826,5.0320503759746064e-11
121,Degradation of flavonoids,map00946,2.5958765721303225e-37,367,2.162886180060215,Metabolism,Biosynthesis of other secondary metabolites,0.0033733167884553517,0.0015624705790703523,1.0357547522799987e-34
126,Cyanoamino acid metabolism,map00460,1.5118314757852343e-10,409,1.4083261179748674,Metabolism,Metabolism of other amino acids,0.003759363941357599,0.0026722972711037828,6.032207588383085e-08
136,Signaling pathways regulating pluripotency of stem cells,map04550,8.563442821794855e-12,29,5.34913102610361,Cellular Processes,Cellular community - eukaryotes,0.00026655636748012314,4.984251610928581e-05,3.416813685896147e-09
137,Polyketide sugar unit biosynthesis,map00523,5.9031307441811124e-21,496,1.592540775554559,Metabolism,Metabolism of terpenoids and polyketides,0.004559033043797968,0.002867606093487577,2.355349166928264e-18
138,Oxidative phosphorylation,map00190,6.872632194010684e-30,983,0.7046908899871233,Metabolism,Energy metabolism,0.009035341697688312,0.01277334466542934,2.742180245410263e-27
139,Lysine biosynthesis,map00300,2.174656434307462e-13,787,0.7733979888181044,Metabolism,Amino acid metabolism,0.007233788317477825,0.009333472646242557,8.676879172886774e-11
143,Arginine and proline metabolism,map00330,7.506179024796656e-05,701,0.8606267356671702,Metabolism,Amino acid metabolism,0.006443310813916081,0.0074789618431540935,0.029949654308938655
144,Lipopolysaccharide biosynthesis,map00540,3.3430903211199368e-15,432,0.6942694320819975,Metabolism,Glycan biosynthesis and metabolism,0.003970770715565973,0.005709367919362931,1.3338930381268547e-12
148,"Valine, leucine and isoleucine degradation",map00280,1.5904843386671526e-06,357,0.7784239493037963,Metabolism,Amino acid metabolism,0.0032814007996691025,0.004211508009323135,0.0006346032511281938
154,Carbohydrate digestion and absorption,map04973,7.630195257723378e-07,102,1.7257922218302126,Organismal Systems,Digestive system,0.0009375430856197436,0.0005434680275027312,0.00030444479078316276
155,Biosynthesis of amino acids,map01230,6.85653216086139e-85,5252,0.7633737998366185,Other,Other,0.04827427731053817,0.06230572956336848,2.7357563321836944e-82
160,Fatty acid metabolism,map01212,5.1076774815958e-09,529,0.778851347978775,Other,Other,0.0048623558067925916,0.006234375755714075,2.037963315156724e-06
165,"Pinene, camphor and geraniol degradation",map00907,1.3132181971660094e-08,5,0.15497816637375444,Metabolism,Metabolism of terpenoids and polyketides,4.595799439312469e-05,0.00029647066989449265,5.2397406066923776e-06
170,2-Oxocarboxylic acid metabolism,map01210,8.310523073487269e-09,882,0.8247212457974021,Other,Other,0.008106990210947193,0.009813068412360796,3.3158987063214203e-06
186,Vibrio cholerae infection,map05110,1.5639301744263857e-11,62,2.7821602846811384,Human Diseases,Infectious disease: bacterial,0.000569879130474746,0.00020490812178261943,6.240081395961279e-09
188,Thiamine metabolism,map00730,8.226005383629286e-05,724,0.8631180854256727,Metabolism,Metabolism of cofactors and vitamins,0.006654717588124455,0.007701960952265268,0.032821761480680854
196,Taurine and hypotaurine metabolism,map00430,1.0452153350956556e-07,173,0.6784989154244484,Metabolism,Metabolism of other amino acids,0.0015901466060021141,0.0023418598494903695,4.170409187031666e-05
199,Biosynthesis of vancomycin group antibiotics,map01055,2.205120473387345e-09,145,1.7373371698268154,Metabolism,Metabolism of terpenoids and polyketides,0.0013327818374006158,0.0007675747480830015,8.798430688815506e-07
205,Protein export,map03060,1.058072788071846e-13,661,0.7540649157662644,Genetic Information Processing,"Folding, sorting and degradation",0.006075646858771083,0.008041259265631444,4.221710424406665e-11
208,Starch and sucrose metabolism,map00500,4.57251533012129e-37,2581,1.3099516226306376,Metabolism,Carbohydrate metabolism,0.023723516705730963,0.018212455386333034,1.8244336167183948e-34
210,Styrene degradation,map00643,2.1510184514982065e-05,20,0.4280243539155368,Metabolism,Xenobiotics biodegradation and metabolism,0.00018383197757249875,0.00042938404618592146,0.008582563621477845
211,Ubiquinone and other terpenoid-quinone biosynthesis,map00130,8.638951990493535e-05,231,0.7749960643917674,Metabolism,Metabolism of cofactors and vitamins,0.0021232593409623605,0.002738015551603434,0.0344694184420692
212,O-Antigen nucleotide sugar biosynthesis,map00541,1.5645175061806992e-27,1497,1.354218978392134,Metabolism,Glycan biosynthesis and metabolism,0.01375982352130153,0.010197409592136844,6.24242484966099e-25
219,Tyrosine metabolism,map00350,9.650156464172067e-06,328,0.7860408428387683,Metabolism,Amino acid metabolism,0.003014844432188979,0.003832335683069531,0.0038504124292046546
220,Base excision repair,map03410,5.1862763257197624e-05,621,0.8498693342781316,Genetic Information Processing,Replication and repair,0.005707982903626086,0.006709541075955934,0.02069324253962185
221,Glyoxylate and dicarboxylate metabolism,map00630,2.1795470167262724e-07,868,0.8389630425157988,Metabolism,Carbohydrate metabolism,0.007978307826646444,0.009495183920730463,8.696392596737827e-05
223,Glycerophospholipid metabolism,map00564,3.805364613499494e-11,671,0.7778919326913243,Metabolism,Lipid metabolism,0.006167562847557332,0.007914622354331555,1.518340480786298e-08
224,Glycerolipid metabolism,map00561,1.222241285836888e-05,566,0.8323715782249479,Metabolism,Lipid metabolism,0.005202444965301714,0.006243605851289869,0.004876742730489183
227,Biosynthesis of nucleotide sugars,map01250,1.2254353735860734e-07,2469,1.1181436134711218,Other,Other,0.022694057631324968,0.020344976668164403,4.8894871406084325e-05
228,"Alanine, aspartate and glutamate metabolism",map00250,2.580231284846843e-07,1255,0.8640402242723035,Metabolism,Amino acid metabolism,0.011535456592674296,0.013326411992330898,0.00010295122826538904
236,beta-Lactam resistance,map01501,7.092153899905568e-10,1165,1.2101772410337202,Human Diseases,Drug resistance: antimicrobial,0.010708212693598052,0.00886495299481527,2.8297694060623215e-07
240,Pantothenate and CoA biosynthesis,map00770,7.220051541140664e-16,724,0.7464660859733014,Metabolism,Metabolism of cofactors and vitamins,0.006654717588124455,0.008894858504480843,2.8808005649151246e-13
243,"Phenylalanine, tyrosine and tryptophan biosynthesis",map00400,1.1212657973267365e-25,1248,0.7484289860281684,Metabolism,Amino acid metabolism,0.011471115400523922,0.015268054897654855,4.473850531333678e-23
246,Cell cycle - Caulobacter,map04112,4.222654423715904e-06,646,0.8346974475792555,Cellular Processes,Cell growth and death,0.005937772875591709,0.007105327574245966,0.0016848391150626459
252,Mismatch repair,map03430,6.413371756135551e-08,1386,1.1650785063653148,Genetic Information Processing,Replication and repair,0.012739556045774163,0.010954277429351926,2.5589353306980848e-05
254,Folate biosynthesis,map00790,1.2799076946392343e-39,769,0.6376480011123692,Metabolism,Metabolism of cofactors and vitamins,0.007068339537662577,0.011040671123941354,5.106831701610544e-37
255,Nucleotide excision repair,map03420,1.8665159074183772e-09,696,1.2744275473846203,Genetic Information Processing,Replication and repair,0.006397352819522956,0.005026710050577232,7.447398470599325e-07
256,Bacterial secretion system,map03070,7.411784095590466e-53,1629,1.5172224141752353,Environmental Information Processing,Membrane transport,0.014973114573280022,0.009919399113393939,2.957301854140596e-50
258,Ether lipid metabolism,map00565,3.514941517068668e-07,41,2.5460313851155623,Metabolism,Lipid metabolism,0.0003768555540236224,0.00014805073303573044,0.00014024616653103984
261,Glutathione metabolism,map00480,4.019603991399434e-12,182,0.6164116837913521,Metabolism,Metabolism of other amino acids,0.0016728709959097385,0.0027110636725221162,1.6038219925683742e-09
268,Microbial metabolism in diverse environments,map01120,5.272257311564095e-105,6924,0.7673203603219741,Other,Other,0.06364263063559907,0.08137104578090486,2.103630667314074e-102
275,Phenylalanine metabolism,map00360,1.531740885440384e-11,291,0.6837750010858836,Metabolism,Amino acid metabolism,0.0026747552736798566,0.0039069148553219435,6.111646132907132e-09
277,Ribosome,map03010,0.0,926,0.2977372107838228,Genetic Information Processing,Translation,0.008511420561606692,0.028024416187224736,0.0
278,Citrate cycle (TCA cycle),map00020,1.2786454308611297e-15,682,0.742191135875634,Metabolism,Carbohydrate metabolism,0.006268670435222207,0.008427815668345683,5.101795269135907e-13
279,Propanoate metabolism,map00640,1.5714423514414573e-12,810,0.7832514697043029,Metabolism,Carbohydrate metabolism,0.0074451950916861985,0.009485953825154669,6.270054982251414e-10
281,ABC transporters,map02010,9.321775981444027e-84,4222,0.7437467956202526,Environmental Information Processing,Membrane transport,0.03880693046555448,0.0514891651600074,3.7193886165961665e-81
282,beta-Alanine metabolism,map00410,1.6771872171661204e-08,183,0.6702224846729675,Metabolism,Metabolism of other amino acids,0.0016820625947883635,0.002507632366031624,6.69197699649282e-06
284,Various types of N-glycan biosynthesis,map00513,2.8632027889583267e-21,172,2.333117749643655,Metabolism,Glycan biosynthesis and metabolism,0.001580955007123489,0.0006782274229093188,1.1424179127943723e-18
290,Biosynthesis of various antibiotics,map00998,5.5891635620888694e-15,51,0.3879951448971644,Metabolism,Biosynthesis of other secondary metabolites,0.0004687715428098718,0.0012072965013138117,2.2300762612734588e-12
294,Cysteine and methionine metabolism,map00270,1.537389530134328e-09,1527,0.8563408263156852,Metabolism,Amino acid metabolism,0.014035571487660279,0.016351668118253032,6.134184225235968e-07
298,Biosynthesis of cofactors,map01240,2.7547769896935176e-90,5146,0.7551421260473301,Other,Other,0.047299967829403926,0.06169100519802063,1.0991560188877135e-87
301,Carbon metabolism,map01200,1.6885586530479303e-60,3505,0.7596919924632783,Other,Other,0.032216554069580405,0.041979582290178695,6.737349025661242e-58
309,Pyruvate metabolism,map00620,5.738719342075395e-09,1648,0.8656616294619706,Metabolism,Carbohydrate metabolism,0.015147754951973897,0.01745743356823311,2.2897490174880825e-06
311,One carbon pool by folate,map00670,2.479571634779463e-13,581,0.7436435641986588,Metabolism,Metabolism of cofactors and vitamins,0.005340318948481088,0.007168092224161363,9.893490822770058e-11
315,Lysosome,map04142,2.9473116071706902e-65,597,2.2581537629361823,Cellular Processes,Transport and catabolism,0.005487384530539087,0.002437483639655592,1.1759773312611055e-62
320,Glycolysis / Gluconeogenesis,map00010,3.2527094678989165e-09,1860,0.8707985275303475,Metabolism,Carbohydrate metabolism,0.01709637391424238,0.01958330918124991,1.2978310776916677e-06
329,Bacterial invasion of epithelial cells,map05100,7.966118703083599e-35,196,2.8958655198027814,Human Diseases,Infectious disease: bacterial,0.0018015533802104877,0.0006228468494545568,3.178481362530356e-32
330,RNA degradation,map03018,4.88984175667127e-06,926,1.1704899782936695,Genetic Information Processing,"Folding, sorting and degradation",0.008511420561606692,0.007280699390186046,0.0019510468609118367
334,Biosynthesis of secondary metabolites,map01110,1.4477847756901715e-99,12785,0.8202184802680128,Other,Other,0.11751459166321981,0.1396746059026092,5.776661255003784e-97
337,Histidine metabolism,map00340,4.9407083374418035e-17,573,0.7126059795899893,Metabolism,Amino acid metabolism,0.0052667861574520886,0.007375215568882172,1.9713426266392797e-14
340,Drug metabolism - cytochrome P450,map00982,4.654401050356522e-05,57,0.5990537189751414,Metabolism,Xenobiotics biodegradation and metabolism,0.0005239211360816214,0.0008742746529391762,0.018571060190922525
346,Sulfur relay system,map04122,7.953795421429666e-23,289,0.5837476454083725,Genetic Information Processing,"Folding, sorting and degradation",0.002656372075922607,0.004541945430936548,3.173564373150437e-20
351,Other glycan degradation,map00511,1.2048430199382383e-122,1048,2.353856565031036,Metabolism,Glycan biosynthesis and metabolism,0.009632795624798934,0.004115145811511849,4.807323649553571e-120
357,D-Amino acid metabolism,map00470,2.772904971151592e-20,419,0.6516355704991825,Metabolism,Metabolism of other amino acids,0.0038512799301438486,0.005898031072932154,1.1063890834894853e-17
359,Lipoic acid metabolism,map00785,2.76452542277075e-09,196,0.6654583452712349,Metabolism,Metabolism of cofactors and vitamins,0.0018015533802104877,0.0027047872075305767,1.1030456436855291e-06
360,Yersinia infection,map05135,3.144314778321108e-10,111,1.9762827641599234,Human Diseases,Infectious disease: bacterial,0.001020267475527368,0.0005165161484214137,1.254581596550122e-07
365,Two-component system,map02020,1.0599116188219412e-05,3685,1.0791602043813593,Environmental Information Processing,Signal transduction,0.03387104186773289,0.031464657410234555,0.004229047359099545
366,"Tropane, piperidine and pyridine alkaloid biosynthesis",map00960,2.8547547885455167e-05,160,0.7246253937545712,Metabolism,Biosynthesis of other secondary metabolites,0.00147065582057999,0.0020284058037364164,0.011390471606296611
373,Photosynthesis - antenna proteins,map00196,7.55385097233233e-207,460,7.274654158193087,Metabolism,Energy metabolism,0.004228135484167471,0.0005833420403901598,3.0139865379605996e-204
374,Methane metabolism,map00680,7.672283451808045e-21,1165,0.7640731598105616,Metabolism,Energy metabolism,0.010708212693598052,0.013968457440583107,3.06124109727141e-18
376,Biosynthesis of various plant secondary metabolites,map00999,2.233913605603847e-11,441,1.411039336119854,Metabolism,Biosynthesis of other secondary metabolites,0.004053495105473597,0.002876097781417307,8.91331528635935e-09
379,Salivary secretion,map04970,4.1960778569305665e-07,99,1.759918710872545,Organismal Systems,Digestive system,0.0009099682889838688,0.0005172545560674772,0.0001674235064915296
384,Cationic antimicrobial peptide (CAMP) resistance,map01503,9.169283220279473e-05,736,1.1630829436556418,Human Diseases,Drug resistance: antimicrobial,0.0067650167746679535,0.005821975085387615,0.0365854400489151
386,Galactose metabolism,map00052,5.1640223144160535e-28,1871,1.31367185639409,Metabolism,Carbohydrate metabolism,0.017197481501907256,0.01314513291522231,2.0604449034520053e-25
391,Sulfur metabolism,map00920,3.514468978058501e-08,544,0.7916581194130041,Metabolism,Energy metabolism,0.005000229789971966,0.006307847316497393,1.4022731222453419e-05
395,Glycosaminoglycan degradation,map00531,1.5603830262537904e-31,343,2.0669780820997676,Metabolism,Glycan biosynthesis and metabolism,0.0031527184153683535,0.001527765419705368,6.225928274752624e-29
397,Fatty acid biosynthesis,map00061,1.5170045570177035e-05,498,0.8247453822285838,Metabolism,Lipid metabolism,0.0045774162415552185,0.005544703014290772,0.006052848182500637
398,Vitamin B6 metabolism,map00750,4.085903801589357e-06,221,0.7392789703122652,Metabolism,Metabolism of cofactors and vitamins,0.002031343352176111,0.0027457688318871004,0.0016302756168341535
